Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;
2010;42298906;20607272;21691634;600394;246231;x;14.19;5.82;76.1;72.6;79.55;11.98;13.03;10.87;1.67;32.02;11.09;43.11;34.38;
2011;42707383;20805607;21901776;609189;248499;0.97;14.26;5.82;76.47;73.04;79.84;11.58;12.6;10.51;1.69;31.38;11.39;42.76;36.36;
2012;43119841;21006793;22113048;614973;251306;0.97;14.26;5.83;76.82;73.46;80.11;11.19;12.18;10.16;1.7;30.76;11.72;42.48;37.96;
2013;43528708;21206883;22321825;609461;254413;0.95;14;5.84;77.16;73.86;80.38;10.83;11.79;9.83;1.69;30.16;12.08;42.25;40.09;
2014;43937755;21407763;22529992;623424;257855;0.94;14.19;5.87;77.48;74.24;80.63;10.49;11.41;9.51;1.73;29.64;12.48;42.12;42.11;
2015;44356304;21614159;22742145;637209;261613;0.95;14.37;5.9;77.79;74.6;80.88;10.16;11.06;9.22;1.77;29.25;12.91;42.16;44.17;
2016;44760305;21813699;22946606;603412;265394;0.91;13.48;5.93;78.08;74.94;81.11;9.85;10.72;8.94;1.68;28.86;13.36;42.22;46.31;
2017;45149603;22006254;23143349;617221;269488;0.87;13.67;5.97;78.36;75.26;81.34;9.56;10.4;8.67;1.72;28.58;13.85;42.43;48.26;
2018;45538936;22199331;23339605;613637;274009;0.86;13.47;6.02;78.62;75.56;81.56;9.28;10.1;8.42;1.72;28.39;14.38;42.77;50.75;
2019;45919049;22388135;23530914;609658;278821;0.83;13.28;6.07;78.87;75.85;81.76;9.01;9.81;8.18;1.72;28.21;14.94;43.15;52.79;
